Claart,Fecncre,Cant,Clacli,Clatipcli
01BLO15,15/07/21,350.0,MRS2043,0
05CONPH12,16/07/21,5.0,MRS2043,0
03TAB33,16/07/21,6.2,MRSZI046,0
03SOL141211,20/07/21,53.2,MRS295,14
03SOL31612,20/07/21,22.4,MRS295,14
03PP10020,21/07/21,6.2,MRS2043,0
03LN41024,21/07/21,3.0,MRSZI046,0
06CLA212,21/07/21,15.0,MRS2043,0
01ALAM,23/07/21,50.0,TOHI91,0
01CAS651,23/07/21,100.0,MOCM70,0
03122ES20,24/07/21,11.6,MRSZI046,0
02ECAG4305,26/07/21,6.0,MOCG95,0
02EES305,26/07/21,6.0,MOCG95,0
02EPG4305,26/07/21,13.0,MOCG95,0
02EPP6305,26/07/21,2.0,MOCG95,0
02PANN2,26/07/21,1.0,MOCG95,0
03LAMGT427,27/07/21,3.0,AOSM88,0
01MALSOL6,28/07/21,200.0,SIW14,0
03SOL316112,29/07/21,4.5,MRSZI046,0
0611556,29/07/21,4.0,MRS2043,0
01CEMCAZ50,29/07/21,15.0,MRS2043,0
05TEEPVC4,30/07/21,1.0,MRS2043,0
01ARM204,30/07/21,3.0,MRS2043,0
01ARM12204,31/07/21,3.0,MRSZI046,0
0549365,06/08/21,1.0,MRS2043,0
05CESPFF,06/08/21,1.0,MRS2043,0
01EST1520,06/08/21,50.0,MRSZI0096,0
01BLO15,06/08/21,800.0,MRS2043,0
04HCR16,07/08/21,4.0,MRSZI046,0
03LN31022,12/08/21,6.0,OOFP82,14
06CLA212,13/08/21,2.0,TOPE72,0
06PESPPS,13/08/21,1.0,VAMG80,0
01CAL,21/08/21,20.0,MRSZI0042,0
03PP15018,24/08/21,28.8,MRSZI046,0
05ADAPHC34,26/08/21,5.0,MRSZI0047,0
05ADAPHH12,26/08/21,5.0,MRSZI0047,0
05ADAPMH34,26/08/21,5.0,MRSZI0047,0
05ADAPMPH12,26/08/21,5.0,MRSZI0047,0
01MALSOL10,26/08/21,200.0,AOSM88,0
03PR20018,26/08/21,8.8,MRSZI046,0
