Claart,Fecfac,Cant,Clacli,Clatipcli
01CEMBIG,09/12/19,2.0,MRS2043,0
01COMB34,10/12/19,12.58,MRS2043,0
01CEMCAZ50,11/12/19,100.0,OERA46,1
01BLO15,12/12/19,1540.0,MRS2043,0
01CEMCAZ50,12/12/19,107.0,MRS2043,0
01COMB34,12/12/19,6.0,MRS2043,0
GTRAS,12/12/19,1.0,MRS2043,0
01CEMCAZ50,14/12/19,100.0,gco02,0
01CEMCAZ50,16/12/19,100.0,OERA46,1
01CEMCAZ50,19/12/19,100.0,OERA46,1
05TRD263,19/12/19,8.0,PSP14,0
05TUBPVCALC12,19/12/19,7.0,PSP14,0
01ALREC,02/01/20,4.0,RCC,0
01ARM1538,02/01/20,4.0,RCC,0
01CAL,02/01/20,5.0,RCC,0
01CEMCAZ50,02/01/20,10.0,RCC,0
06CLA212,02/01/20,2.0,RCC,0
01CEMCAZ50,02/01/20,50.0,OIOA63,9
01CEMCAZ50,06/01/20,100.0,OERA46,1
01ARM538,06/01/20,2.0,RCC,0
01CEMCAZ50,06/01/20,10.0,RCC,0
01CEMBIG,08/01/20,2.0,MRS2043,0
01CEMCAZ50,08/01/20,40.0,OIOA63,9
01CEMCAZ50,08/01/20,10.0,OIOA63,9
01CEMCAZ50,08/01/20,100.0,gco02,0
01CEMCAZ50,09/01/20,45.0,OIOA63,9
01VAR38K,09/01/20,80.0,MRS958,0
01ALAM,10/01/20,150.0,MARA76,0
01ALREC,10/01/20,20.0,MARA76,0
01VAR38,10/01/20,150.0,MARA76,0
0414015,10/01/20,2.0,RCC,0
04HPIC22,10/01/20,1.0,RCC,0
06BRF14,10/01/20,2.0,RCC,0
08RON14,10/01/20,200.0,RCC,0
08TORC14112,10/01/20,130.0,RCC,0
08TUER14,10/01/20,100.0,RCC,0
01CEMBIG,10/01/20,4.0,MRS379,9
01CEMCAZ50,13/01/20,25.0,MRSZI156,0
01CEMBIG,13/01/20,2.0,MRS1993,0
01CEMCAZ50,14/01/20,10.0,RCC,0
01CEMBIG,15/01/20,2.0,MRS2043,0
01CEMCAZ50,15/01/20,25.0,MRSZI156,0
01VAR38,17/01/20,10.0,MRS1993,0
01VAR112,17/01/20,5.0,MRS1993,0
01CEMBIG,17/01/20,4.0,MRS379,9
01CAL,17/01/20,20.0,RCC,0
01CEMCAZ50,17/01/20,20.0,RCC,0
01CEMCAZ50,17/01/20,80.0,MRSZI0026,0
01CEMBIG,17/01/20,2.0,MRSZI0040,0
01CEMCAZ50,17/01/20,2.0,MRS2043,0
01CEMCAZ50,18/01/20,55.0,OIOA63,9
01CEMCAZ50,20/01/20,25.0,MRSZI156,0
01ARM538,20/01/20,6.0,RCC,0
01MALSOL6,20/01/20,25.0,RCC,0
01CEMCAZ50,21/01/20,25.0,MRSZI0027,0
01CEMBIG,21/01/20,2.0,CARA65,0
01VAR38,22/01/20,20.0,MRS1993,0
01VAR38,23/01/20,40.0,MRS2043,0
01CEMCAZ50,23/01/20,40.0,MRSZI0026,0
01CEMCAZ50,24/01/20,3.0,MRS2043,0
01CEMBIG,24/01/20,2.0,MRS379,9
01CEMCAZ50,24/01/20,40.0,MRSZI0026,0
01CEMCAZ50,24/01/20,23.0,gco02,0
01CEMCAZ50,24/01/20,77.0,gco02,0
03ANG182,25/01/20,30.8,AIHS900,0
03SOL18114,25/01/20,10.4,AIHS900,0
03SOL1834,25/01/20,9.0,AIHS900,0
03SOL3164,25/01/20,12.0,AIHS900,0
03TM18112,25/01/20,560.0,AIHS900,0
03VRED38,25/01/20,11.4,AIHS900,0
01CEMCAZ50,27/01/20,20.0,MARA76,0
01VAR38,28/01/20,15.0,MRS1993,0
01ALREC,28/01/20,10.0,MRS1993,0
01CEMCAZ50,29/01/20,5.0,MRS2043,0
01CEMCAZ50,29/01/20,50.0,OIOA63,9
01CAL,29/01/20,20.0,gco02,0
01CEMAGR,29/01/20,9.88,MAAG76,1
01CEMBIG,30/01/20,2.0,MRS1993,0
01ARM204,31/01/20,10.0,MRS1993,0
01CEMCAZ50,31/01/20,100.0,gco02,0
01YEM,31/01/20,30.0,gco02,0
01CAL,01/02/20,8.0,RCC,0
01CEMCAZ50,01/02/20,20.0,RCC,0
01CEMCAZ50,01/02/20,20.0,MRS2043,0
01CEMAGR,01/02/20,47.56,MAAG76,1
05CS10MF,03/02/20,8.0,MRS2043,0
05CS15MF,03/02/20,2.0,MRS2043,0
05CS15MF,03/02/20,4.0,MRS2043,0
01CEMAGR,04/02/20,25.13,MAAG76,1
01VAR38,06/02/20,15.0,MRS1993,0
01EST1530,06/02/20,43.25,MRS1993,0
01CEMAGR,07/02/20,40.11,MAAG76,1
01CAL,07/02/20,20.0,gco02,0
01ALREC,10/02/20,20.0,MRS1993,0
01BAB1030,10/02/20,1100.0,MARA76,0
01ARM204,11/02/20,5.0,MRS1993,0
06CLA212,11/02/20,4.0,MRS1993,0
01CEMAGR,11/02/20,31.25,MAAG76,1
01CEMAGR,11/02/20,8.9,MAAG76,1
01CEMCAZ50,12/02/20,60.0,gco02,0
01EST1530,13/02/20,28.6,MRS1993,0
05CS12MF,13/02/20,3.0,MRS2043,0
01CEMCAZ50,14/02/20,30.0,OIOA63,9
01CEMAGR,14/02/20,25.15,MAAG76,1
01CEMCAZ50,14/02/20,70.0,MARA76,0
01CEMCAZ50,14/02/20,100.0,OERA46,1
01CEMAGR,15/02/20,39.21,MAAG76,1
01ARM204,17/02/20,2.0,MRSZI0017,0
01ARM204,17/02/20,5.0,MRSZI0017,0
05CODCRI12,18/02/20,64.0,MAR03,1
05TUBCOM12,18/02/20,115.9,MAR03,1
05CODC1290,18/02/20,749.0,MAR03,1
05CODCRI12,18/02/20,171.0,MAR03,1
01ALREC,19/02/20,20.0,MRS1993,0
01ARM204,19/02/20,5.0,MRS1993,0
01EST1530,19/02/20,28.15,MRS1993,0
06CLA212,19/02/20,2.0,MRS1993,0
01ALREC,19/02/20,2.82,MRS1993,0
01VAR38,19/02/20,26.0,MRS1993,0
01CEMCAZ50,19/02/20,100.0,OERA46,1
01CEMCAZ50,19/02/20,20.0,gco02,0
01CEMCAZ50,20/02/20,80.0,gco02,0
01CEMAGR,20/02/20,4.4,MAAG76,1
