Claart,Cant,Dias_Totales,Clapro
05COFLEXC,3.0,2,GFE00
05COFLEXWCC,11.0,3,GFE00
05CONEXT12,19.0,3,THE7911
05CONEXT34,2.0,1,THE7911
05CONIN1,1.0,1,GFE00
05CONIN12,4.0,3,THE7911
05CONIN34,5.0,2,THE7911
05CONP34,21.0,3,ROT78
05CONPH12,19.0,7,ROT78
05CONPL12,63.0,7,ROT78
05CONPL34,22.0,1,ROT78
05CONTD,12.0,2,THE7911
05COPB12,6.0,1,GFE00
05COPCOB12,3.0,2,THE7911
05COPCP12,12.0,2,THE7911
05COPCP34,8.0,3,THE7911
05COPGAL1,1.0,1,BIF86
05COPGAL12,19.0,4,GFE00
05COPGAL2,12.0,1,TTU87
05COPH1,4.0,1,DDS15
05COPL12,75.0,11,ROT78
05COPL34,25.0,4,ROT78
05COPPVC23,51.0,5,DDS15
05COPPVC3,19.0,5,DDS15
05COPPVC4,39.0,13,DDS15
05COPPVCH12,4.0,2,DDS15
05COPPVCH2,10.0,1,GFE00
05CORMET14IND,1.0,1,HHI05
05CPH1,7.0,3,GFE00
05CPM1,1.0,1,ROT78
05CPOPVC6,16.0,2,DDS15
05CPR11234,6.0,3,THE7911
05CPR2520,3.0,1,
05CUECERCG,4.0,3,GFE00
05DES55850,5.0,1,THE7911
05DETIA,1.0,1,
05E305,9.0,1,ROT78
05ELECT3,2.0,1,THE7911
05EMPEPT,2.0,2,THE7911
05EMPM,3.0,2,THE7911
05ESCC1324,2.0,2,THE7911
05FESLTO,2.0,1,FIN87
05FLOPTIN,2.0,2,ROT78
05GACO11490,1.0,1,TTU87
05GALV114,1.0,1,TTU87
05GALVNB2,2.0,1,GFE00
05GANIBO1,2.0,1,BIF86
05GANIBO21,1.0,1,VCI87
05GANIBO34,6.0,1,BIF86
05GC114,1.0,1,GFE00
05GNI11412,1.0,1,TTU87
05IMG,5.0,1,PIM78
05IMPTHE19,9.0,3,PIM78
05JALAAGUA,2.0,2,THE7911
05JUEACB,9.0,1,GFE00
05JUEGHH,4.0,3,GFE00
05JUEHPS,7.0,1,PIM78
05LJBC,1.0,1,GFE00
05LLAAST,62.0,10,THE7911
05LLAEROSR,1.0,1,GFE00
05LLAN12UN,54.0,5,THE7911
05LLAN34,4.0,2,THE7911
05LLAND,1.0,1,GFE00
05NG122,1.0,1,TTU87
05NIPG1126,1.0,1,VCI87
05NIPG24,1.0,1,TTU87
05NIPGAL1212,1.0,1,TTU87
05NIPGAL123,1.0,1,GFE00
05NIPGAL124,15.0,2,BIF86
05NIPGAL126,8.0,1,TTU87
05NIPGALV122,14.0,2,BIF86
05NIPGALV1250,6.0,1,GFE00
05NIPGALVRC12,10.0,1,TTU87
05NIPGCAM3812,1.0,1,THE7911
05NIPGTERM38,0.0,1,THE7911
05NIPIN1,1.0,1,DDS15
05NIPPI2,5.0,1,DDS15
05NIPPVCIN12,3.0,2,DDS15
05NIPPVCIN34,10.0,1,DDS15
05NUG38,1.0,1,THE7911
05PEGACPVC50,9.0,4,DDS15
05PEGAD120,9.0,6,DDS15
05PEGAD240,11.0,8,DDS15
05PEGAD500,6.0,5,DDS15
05PEGAD7471,1.0,1,DDS15
05PEGADO50,12.0,8,GFE00
05PEGF150,2.0,2,DDS15
05PEGF250,2.0,2,DDS15
05PICH1,1.0,1,THE7911
05PLCORH31,1.0,1,ROT78
05PLJLR20,2.0,2,ROT78
05RBPH1121,2.0,1,DDS15
05REDGAL11212,2.0,1,TTU87
05REDGALV11122,0.0,1,TTU87
05REDGALV3112,1.0,1,BIF86
05REDGALVB3412,7.0,2,TTU87
05REDPL112,2.0,1,ROT78
05REDPL134,1.0,1,ROT78
05REDPL3412,14.0,4,ROT78
05REDPVC32,10.0,4,DDS15
05REDPVC42,14.0,5,DDS15
05REDPVC43,9.0,4,DDS15
05TA1100,1.0,1,USL91
05TA450,1.0,1,USL91
05TANQES180,1.0,1,GFE00
05TAPH,15.0,1,BIF86
05TAPHGAL12,22.0,4,GFE00
05TAPHGAL2,1.0,1,BIF86
05TAPMGAL12,6.0,2,GFE00
05TAPMGAL34,1.0,1,BIF86
05TAPMPVC2,3.0,2,DDS15
05TAPMPVC4,4.0,3,DDS15
05TAPMPVC6,3.0,1,GFE00
05TAPPL12,7.0,1,ROT78
05TEECO12,9.0,2,THE7911
05TEECO34,1.0,1,THE7911
05TEECPVCC12,32.0,5,THE7911
05TEEG2,1.0,1,BIF86
05TEEGAL12,8.0,4,BIF86
05TEEPL12,42.0,9,ROT78
05TEEPL34,28.0,3,ROT78
05TEEPVC2,62.0,5,DDS15
05TEEPVC3,9.0,5,DDS15
05TEEPVC4,75.0,15,DDS15
05TEEPVC42,11.0,2,GFE00
05TEEPVCH12,12.0,3,DDS15
05TEEPVCIN12,5.0,3,DDS15
05TG121,4.0,1,GFE00
05TINRTT1100,2.0,1,ROT78
05TOBCLOSET,18.0,3,PIM78
05TORDNL,2.0,1,THE7911
05TPCBAGAZ,2.0,1,GFE00
05TPH2,10.0,1,DDS15
05TPVC402,5.0,1,DDS15
05TUBCOL12,48.8,4,GFE00
05TUBCOL34,5.0,1,GFE00
05TUBCOM12,12.2,1,GFE00
05TUBCOM34,18.3,1,GFE00
05TUBCPV12,173.85,8,DDS15
05TUBCPVC34,30.5,4,DDS15
05TUBG3,69.0,4,TEMP84
05TUBGALV12,7.5,3,GFE00
05TUBGALV2,7.0,2,TTU87
05TUBGALV51126,48.0,5,TEMP84
05TUBGALV5138,21.0,3,TEMP84
05TUBGALV522,61.0,6,FOR96
05TUBKIT,39.5,3,DDS15
05TUBPL12,70.0,11,ROT78
05TUBPL34,60.0,8,ROT78
05TUBPVCH1,5.5,1,DDS15
05TUBPVCHA12,12.0,4,GFE00
05TUBPVCHA34,5.5,2,DDS15
05TUBPVCN2,214.0,11,DDS15
05TUBPVCN3,252.0,11,DDS15
05TUBPVCN4,654.0,22,DDS15
05TUBPVCN6,99.0,4,DDS15
05TUEP12,3.0,2,ROT78
05TUEUC12,1.0,1,THE7911
05TUEUNPLUS34,4.0,1,ROT78
05TUGA112,2.0,1,
05TUH40,3.0,1,DDS15
05TUHC402,3.0,1,DDS15
05TZBCBAGAZ,2.0,1,GFE00
05VAL12,2.0,2,ROT78
05VALBCP12,2.0,2,THE7911
05VALER114,1.0,1,THE7911
05VALER2,1.0,1,THE7911
05VALERO12,8.0,4,THE7911
05VALESOL34,1.0,1,THE7911
05VALESP1,15.0,1,GFE00
05VALESR1,1.0,1,THE7911
05VALPVCER12,1.0,1,DDS15
05VALPVCER2,1.0,1,
05VPQ0020,7.0,2,GFE00
05YEEPVC2,63.0,3,DDS15
05YEEPVC3,2.0,2,DDS15
05YEEPVC4,17.0,6,DDS15
0603920010,12.0,4,SMM7906
0610068,3.0,3,THE7911
06100798,3.0,3,THE7911
06101525,1.0,1,THE7911
0610234,1.0,1,THE7911
0610235,2.0,1,THE7911
0610252,5.0,3,THE7911
0610547,4.0,1,THE7911
0610549,4.0,2,THE7911
0610566,2.0,1,THE7911
0610612,1.0,1,THE7911
0610759,2.0,1,THE7911
0610849,3.0,3,THE7911
0610859,1.0,1,THE7911
0610862,1.0,1,THE7911
0611154,1.0,1,THE7911
0611264,1.0,1,THE7911
0611279,1.0,1,THE7911
06113416,200.0,2,THE7911
0611559,12.0,8,THE7911
0611570,5.0,2,THE7911
0611579,1.0,1,THE7911
0611582,8.0,7,THE7911
0611585,4.0,1,THE7911
0611752,2.0,2,THE7911
0611807,1.0,1,THE7911
0611925,1.0,1,THE7911
0611941,1.0,1,THE7911
0611979,1.0,1,THE7911
0612077,15.0,6,THE7911
0612081,5.0,1,THE7911
0612085,2.0,1,THE7911
0612087,2.0,1,THE7911
0612123,1.0,1,THE7911
0612129,2.0,2,THE7911
0612147,10.0,2,THE7911
0612163,1.0,1,THE7911
0612557,3.0,2,THE7911
