Claart,Fecfac,Cant
01ALREC,06/12/19,50.0
01BLO15,06/12/19,800.0
01CEMCAZ50,06/12/19,60.0
01MALSOL10,06/12/19,100.0
01VAR38,06/12/19,152.0
06CLA212,06/12/19,20.0
06CLA4,06/12/19,5.0
06CLAC212,06/12/19,2.0
06PL4,06/12/19,40.0
08CAJCHR,06/12/19,32.0
08CAJO,06/12/19,15.0
08POL1234,06/12/19,100.0
GTRAS,06/12/19,1.0
01CEMAGR,06/12/19,34.23
01CEMBIG,06/12/19,3.4
01CEMBIG,06/12/19,0.6
01CEMBIG,06/12/19,4.0
01CEMAGR,06/12/19,8.35
01CEMBIG,09/12/19,2.0
01COMB34,10/12/19,12.58
01CEMCAZ50,11/12/19,100.0
01BLO15,12/12/19,1540.0
01CEMCAZ50,12/12/19,107.0
01COMB34,12/12/19,6.0
GTRAS,12/12/19,1.0
01CEMCAZ50,14/12/19,100.0
01CEMCAZ50,14/12/19,100.0
01CEMCAZ50,16/12/19,100.0
01CEMCAZ50,19/12/19,220.0
01CEMCAZ50,19/12/19,100.0
05TRD263,19/12/19,8.0
05TUBPVCALC12,19/12/19,7.0
01ALREC,02/01/20,4.0
01ARM1538,02/01/20,4.0
01CAL,02/01/20,5.0
01CEMCAZ50,02/01/20,10.0
06CLA212,02/01/20,2.0
01CEMCAZ50,02/01/20,50.0
01CEMCAZ50,06/01/20,100.0
01ARM538,06/01/20,2.0
01CEMCAZ50,06/01/20,10.0
01CEMCAZ50,07/01/20,200.0
01CEMAGR,07/01/20,39.58
01CEMBIG,08/01/20,2.0
01CEMCAZ50,08/01/20,40.0
01CEMCAZ50,08/01/20,10.0
01CEMCAZ50,08/01/20,100.0
01CEMCAZ50,09/01/20,45.0
01CEMCAZ50,09/01/20,100.0
01VAR38K,09/01/20,80.0
01ALAM,10/01/20,150.0
01ALREC,10/01/20,20.0
01VAR38,10/01/20,150.0
0414015,10/01/20,2.0
04HPIC22,10/01/20,1.0
06BRF14,10/01/20,2.0
08RON14,10/01/20,200.0
08TORC14112,10/01/20,130.0
08TUER14,10/01/20,100.0
01CEMCAZ50,10/01/20,400.0
01CEMBIG,10/01/20,4.0
01CEMCAZ50,13/01/20,25.0
01CEMBIG,13/01/20,2.0
01CEMCAZ50,14/01/20,10.0
01CEMBIG,15/01/20,2.0
01CEMCAZ50,15/01/20,25.0
01CEMCAZ50,15/01/20,100.0
01VAR38,17/01/20,10.0
01VAR112,17/01/20,5.0
01CEMBIG,17/01/20,4.0
01CAL,17/01/20,20.0
01CEMCAZ50,17/01/20,20.0
01CEMCAZ50,17/01/20,80.0
01CEMCAZ50,17/01/20,200.0
01CEMBIG,17/01/20,2.0
01CEMCAZ50,17/01/20,2.0
01CEMCAZ50,18/01/20,55.0
01CEMAGR,18/01/20,40.25
01CEMCAZ50,20/01/20,25.0
01ARM538,20/01/20,6.0
01MALSOL6,20/01/20,25.0
01CEMCAZ50,21/01/20,25.0
01CEMBIG,21/01/20,2.0
01CEMCAZ50,21/01/20,10.0
01CEMCAZ50,21/01/20,5.0
01VAR38,22/01/20,20.0
01VAR38,23/01/20,40.0
01CEMCAZ50,23/01/20,100.0
01CEMCAZ50,23/01/20,40.0
01CEMCAZ50,24/01/20,3.0
01CEMBIG,24/01/20,2.0
01CEMCAZ50,24/01/20,40.0
01CEMBIG,24/01/20,2.0
01CEMCAZ50,03/04/20,80.0
01CEMCAZ50,24/01/20,23.0
01CEMCAZ50,24/01/20,77.0
01CEMAGR,25/01/20,40.23
03ANG182,25/01/20,30.8
03SOL18114,25/01/20,10.4
03SOL1834,25/01/20,9.0
03SOL3164,25/01/20,12.0
03TM18112,25/01/20,560.0
03VRED38,25/01/20,11.4
01CEMCAZ50,27/01/20,220.0
01CEMCAZ50,27/01/20,150.0
01CEMCAZ50,27/01/20,30.0
01CEMCAZ50,27/01/20,100.0
01CEMCAZ50,27/01/20,20.0
01VAR38,28/01/20,15.0
01ALREC,28/01/20,10.0
06TUBPEAD6,28/01/20,6.0
01CEMCAZ50,29/01/20,100.0
01CEMCAZ50,29/01/20,5.0
01CEMCAZ50,29/01/20,50.0
01CAL,29/01/20,20.0
01CEMAGR,29/01/20,25.1
01CEMAGR,29/01/20,30.27
01CEMAGR,29/01/20,9.88
