"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRVDC16","894.94","1","0","yes","0","16","0","1326255","0","ZINC0151","ZI029100","yes","0","","0",""
"1","SRVDC16","870.03","1","0","yes","0","16","0","1327910","0","ZINC0152","ZI029133","yes","0","","0",""
"1","SRVDC16","1275.99","1","0","yes","0","16","0","1327913","0","ZINC0153","ZI029133","yes","0","","0",""
"1","SRVDC16","1019.1","1","0","yes","0","16","0","1329736","0","ZINC0154","ZI026651","yes","0","","0",""
"1","SRVDC16","655.42","1","0","yes","0","16","0","1329739","0","ZINC0155","ZI027349","yes","0","","0",""
"1","SRVDC16","1276","1","0","yes","0","16","0","1342824","0","ZINC0156","ZI029332","yes","0","","0",""
"1","SRVDC16","2500","1","0","yes","0","16","0","1342827","0","ZINC0157","ZI029416","yes","0","","0",""
"1","SRVDC16","400","1","0","yes","0","16","0","1349051","0","ZINC0158","ZI029495","yes","0","","0",""
"1","SRVDC16","1120","1","0","yes","0","16","0","1349606","0","ZINC0159","ZI029461","yes","0","","0",""
"1","SRVDC16","1552.66","1","0","yes","0","16","0","1360295","0","ZINC0160","ZI029725","yes","0","","0",""
"1","SRVDC16","1461","1","0","yes","1259.48276","16","0","1366598","0","ZINC0161","ZI029707","yes","0","","0",""
"1","SRVDC16","284","1","0","yes","244.82759","16","0","1368049","0","ZINC0162","ZI027949","yes","0","","0",""
"1","SRVDC16","9","1","0","yes","7.75862","16","0","1368052","0","ZINC0163","ZI023700","yes","0","","0",""
"1","SRVDC16","127.26","1","0","yes","109.7069","16","0","1368055","0","ZINC0164","ZI004062","yes","0","","0",""
"1","SRVDC16","89.99","1","0","yes","77.57759","16","0","1368064","0","ZINC0165","ZI004347","yes","0","","0",""
"1","SRVDC16","100","1","0","yes","86.2069","16","0","1368073","0","ZINC0166","ZI019075","yes","0","","0",""
"1","SRVDC16","1994.72","1","0","yes","1719.58621","16","0","1368076","0","ZINC0167","ZI003968","yes","0","","0",""
"1","SRVDC16","39","1","0","yes","33.62069","16","0","1373221","0","ZINC0168","ZI029962","yes","0","","0",""
"1","SRVDC16","4000","1","0","yes","3448.27586","16","0","1382792","0","ZINC0169","ZI027533","yes","0","","0",""
