"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","01CEMBIG","2500","2","0","yes","2026.9228","16","0","920838","0","ZID00965","ZI020575","yes","0","","0",""
"1","08CAJO","12","15","0","yes","8.45","16","0","922287","0","ZID00966","ZI020620","yes","0","","0",""
"1","01CEMAGR","2250","17.11","0","yes","2051.71995","16","0","923332","0","ZID00967","ZI020650","yes","0","","0",""
"1","04HREM31612",".42","100","0","yes",".2646","16","0","923707","0","ZID00968","ZI020673","yes","0","","0",""
"2","06BRF316","22","2","0","yes","10.945","16","0","923707","0","ZID00968","ZI020673","yes","0","","0",""
"1","01CEMBIG","2500","2","0","yes","2026.9228","16","0","923748","0","ZID00969","ZI020649","yes","0","","0",""
"1","05ADAPH34","6.3","4","0","yes","2.5539","16","0","924073","0","ZID00970","ZI020680","yes","0","","0",""
"1","05TINT750","2121","1","0","yes","1407.71","16","0","924129","0","ZID00971","ZI020682","yes","0","","0",""
"1","04HSI2178","51","1","0","yes","33.3","16","0","925361","0","ZID00972","ZI020718","yes","0","","0",""
"1","01ARM1538","240","40","0","yes","190.95008","16","0","925655","0","ZID00973","ZI020618","yes","0","","0",""
"3","01YEM","71","50","0","yes","40.4","16","0","927159","0","ZID00974","ZI020740","yes","0","","0",""
"4","06CLAC1","41.06666","3","0","yes","27.80011","16","0","927159","0","ZID00974","ZI020740","yes","0","","0",""
"1","01CEMCAZ50","150","40","0","yes","109.914","16","0","927159","0","ZID00974","ZI020740","yes","0","","0",""
"2","01CEMMCA50","133","10","0","yes","89.6555","16","0","927159","0","ZID00974","ZI020740","yes","0","","0",""
"1","01ALREC","20","29","0","yes","14","16","0","927234","0","ZID00975","ZI020756","yes","0","","0",""
"2","01BAB1030","11.5","280","0","yes","7.94","16","0","927234","0","ZID00975","ZI020756","yes","0","","0",""
"3","01CEMCAZ50","135","40","0","yes","109.914","16","0","927234","0","ZID00975","ZI020756","yes","0","","0",""
"4","01VAR38","110","28","0","yes","83.6061","16","0","927234","0","ZID00975","ZI020756","yes","0","","0",""
"1","01ES","100","20","0","yes","68.97","16","0","927895","0","ZID00976","ZI020560","yes","0","","0",""
"8","03VRED38","21.6","4.4","0","yes","14.7","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"9","04FOR","50","6.14","0","yes","31.93","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"10","04HBISTU12","3.5","60","0","yes","1.937","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"11","04HDD412","25","3","0","yes","17.63","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"12","04HPER","9","30","0","yes","6.22","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"13","0618101","11.5","3","0","yes","7.91","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"1","01CEMCAZ50","155","10","0","yes","109.914","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"2","01VAR38","121","20","0","yes","83.6061","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"3","03PTR114","22.4","33.6","0","yes","15.3","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"4","03SOL1812","25.1","2","0","yes","16.2","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"5","03SOLP12","22","3.8","0","yes","16.8","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"6","03VCAR12","21.7","15.4","0","yes","16.03","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"7","03VCUA12","21.6","31.2","0","yes","14.5","16","0","931020","0","ZID00977","ZI020811","yes","0","","0",""
"1","04HPER","9","12","0","yes","6.22","16","0","931208","0","ZID00978","ZI020855","yes","0","","0",""
"1","01VAR38","112","2","0","yes","81.1001","16","0","931303","0","ZID00979","ZI020843","yes","0","","0",""
"1","03TC301","190","2","0","yes","131.835","16","0","934021","0","ZID00980","ZI020899","yes","0","","0",""
"1","01CEMBIG","2500","2","0","yes","2030.9572","16","0","934165","0","ZID00981","ZI020859","yes","0","","0",""
"1","02ECAG6305","45","30","0","yes","29.36","16","0","939363","0","ZID00982","ZI020993","yes","0","","0",""
"1","06ESPC","45","2","0","yes","33.98","16","0","942055","0","ZID00983","ZI021022","yes","0","","0",""
"1","05CODPVC490","12","2","0","yes","7.39","16","0","943014","0","ZID00984","ZI021052","yes","0","","0",""
