"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"11","06PALT","76.6161","6","0","yes","0","16","0","58809","00000221","","0","0"
"12","06PALTML","83.9124","3","0","yes","0","16","0","58809","00000221","","0","0"
"13","0617882","69.3198","3","0","yes","0","16","0","58809","00000221","","0","0"
"14","0619963","215.2656","2","0","yes","0","16","0","58809","00000221","","0","0"
"15","06ARE","47.4","6","0","yes","0","16","0","58809","00000221","","0","0"
"1","05YEEPVC4","12.3481","180","0","yes","12.02","16","0","58868","00000153","","0","0"
"2","05CODPVC290","1.3638","244","0","yes","1.3638","16","0","58868","00000153","","0","0"
"3","05TUBPVCN4","18.9752","300","0","yes","18.9752","16","0","58868","00000153","","0","0"
"4","05LPVC12","39.4402","8","0","yes","53.3087","16","0","58868","00000153","","0","0"
"1","05TEEPVC2","2.1655","73","0","yes","2.2392","16","0","58899","00000154","","0","0"
"1","01CEMM","88.776","1020","0","yes","88.77599","16","0","58905","00000155","","0","0"
"1","01VPP","45.5","8","0","yes","31","16","0","58909","00000156","","0","0"
"1","05TUBCPVC34","11.3621","180","0","yes","11.1758","16","0","58914","00000157","","0","0"
"1","05TUBPVCN4","18.6005","90","0","yes","18.9752","16","0","58927","00000158","","0","0"
"2","05TUBPVCN2","7.4918","120","0","yes","7.6837","16","0","58927","00000158","","0","0"
"3","05CODPVC290","1.3177","180","0","yes","1.3638","16","0","58927","00000158","","0","0"
"4","05CODPVC490","5.9529","30","0","yes","6.16","16","0","58927","00000158","","0","0"
"5","05TEEPVC2","2.1655","30","0","yes","2.1655","16","0","58927","00000158","","0","0"
"6","05ACOF2253","18.2365","30","0","yes","77.9681","16","0","58927","00000158","","0","0"
"7","05YEEPVCR42","7.5747","30","0","yes","7.842","16","0","58927","00000158","","0","0"
"8","05YEEPVC4","11.9242","30","0","yes","12.3481","16","0","58927","00000158","","0","0"
"9","05REDPVC42","5.0222","30","0","yes","5.0221","16","0","58927","00000158","","0","0"
"10","05PEGPVCTR150","21.3512","30","0","yes","22.4753","16","0","58927","00000158","","0","0"
"11","05PEGF150","25.3689","30","0","yes","26.6958","16","0","58927","00000158","","0","0"
"12","05TEECPVCC12","1.456","180","0","yes","1.4559","16","0","58927","00000158","","0","0"
"13","05CODCP9012","1.0044","450","0","yes","1.0044","16","0","58927","00000158","","0","0"
"14","05CODCP9034","1.9628","90","0","yes","1.9627","16","0","58927","00000158","","0","0"
"15","05REDBCPVC3412",".9031","60","0","yes",".905","16","0","58927","00000158","","0","0"
"1","03LA10128400","295.6001","28","0","yes","245.9848","16","0","58969","00000159","","0","0"
"1","01ALAM","8.55","12500","0","yes","8.54","16","0","58976","00000160","","0","0"
"2","01ALREC","10.2","4710","0","yes","0","16","0","58976","00000160","","0","0"
"1","03HSS842826","12.05","690","0","yes","0","16","0","58997","00000161","","0","0"
"2","03IPR148","10.85","3852","0","yes","0","16","0","58997","00000161","","0","0"
"3","03VIPR124238","10.85","2619","0","yes","0","16","0","58997","00000161","","0","0"
"4","03HSS8641","12.55","1503","0","yes","0","16","0","58997","00000161","","0","0"
"4","0617882","69.3198","9","0","yes","0","16","0","59030","00000162","","0","0"
"5","0618085","27.7299","9","0","yes","0","16","0","59030","00000162","","0","0"
"6","0618122","31.3731","12","0","yes","0","16","0","59030","00000162","","0","0"
"7","0611752","375.7941","8","0","yes","0","16","0","59030","00000162","","0","0"
"8","06TALACOM","79.5366","8","0","yes","0","16","0","59030","00000162","","0","0"
"9","06CORT18","142.2927","8","0","yes","0","16","0","59030","00000162","","0","0"
"10","06CUCH","29.9178","24","0","yes","0","16","0","59030","00000162","","0","0"
"11","06BRIC5","24.8094","18","0","yes","0","16","0","59030","00000162","","0","0"
"12","0621602","27.7299","12","0","yes","0","16","0","59030","00000162","","0","0"
"13","06MART16","38.6694","12","0","yes","0","16","0","59030","00000162","","0","0"
"14","06NIV18","40.1346","12","0","yes","0","16","0","59030","00000162","","0","0"
"15","0622511","43.0551","9","0","yes","0","16","0","59030","00000162","","0","0"
"16","06PALCD","47.4309","9","0","yes","0","16","0","59030","00000162","","0","0"
"17","06RAF1","19.701","8","0","yes","0","16","0","59030","00000162","","0","0"
"18","05VALESR1","69.3185","18","0","yes","0","16","0","59030","00000162","","0","0"
"1","0610615","100.7028","8","0","yes","97.713","16","0","59030","00000162","","0","0"
"2","0614685","16.0578","12","0","yes","0","16","0","59030","00000162","","0","0"
"3","06LLALB","32.8383","12","0","yes","0","16","0","59030","00000162","","0","0"
"1","01BAB1030","6.95","7040","0","yes","6.95","16","0","59993","00003172","","0","0"
"1","01BLO10","4.1379","3000","0","yes","4.1379","16","0","69590","00000015","","0","0"
"1","05CDH11245","9.06756","209","0","yes","8.7634","16","0","69601","00000007","","0","0"
"2","05PEGAPVC50","11.60168","102","0","yes","9.7034","16","0","69601","00000007","","0","0"
"1","05LLAN12UN","24.0806","120","0","yes","27.7286","16","0","69786","00000001","","0","0"
"2","08FOCE20","30.0366","44","0","yes","0","16","0","69786","00000001","","0","0"
"3","06CINT1","5.1084","120","0","yes","0","16","0","69786","00000001","","0","0"
"1","05NIPGAL16","11.5","110","0","yes","12.74","16","0","70177","00000012","","0","0"
"2","05TAGH1","8.65","110","0","yes","0","16","0","70177","00000012","","0","0"
"3","05COPGAL12","2.88","110","0","yes","0","16","0","70177","00000012","","0","0"
"1","06MS50","7.8773","8320","0","yes","7.8814","16","0","70199","00000013","","0","0"
"5","01AGR","8","3120","0","yes","0","0","0","70226","00000014","","0","0"
"6","01C8000","1.25","3536","0","yes","0","0","0","70226","00000014","","0","0"
